participant,block1mean,block2mean,block3mean,block4mean,finalblockmean,instruction,rotationSize
ag_0906,-0.07428581698315308,0.5120231784838277,0.4750032657228752,0.6825948285814328,0.8736848299567253,non-instructed,30
as_1601,0.18566715806536913,0.47390757629383723,0.2611590556338624,0.9352607770548312,0.9683171625060787,non-instructed,30
ay_1506,-0.09041273123356595,0.44923965120173726,0.5985233680767651,1.0212105831468539,0.8351297772579775,non-instructed,30
az_1306,-0.20549573726386494,0.6971265902400144,0.673390833075967,0.4120950170141567,0.5933635308463928,non-instructed,30
bd_3105,0.10586771218776518,0.3109305053384826,0.533927870544545,0.397918548747829,0.837717810079571,non-instructed,30
bh_1506,0.07781197503900338,0.16404036059127886,0.43291492077550486,0.5206089053802079,0.6768857300315347,non-instructed,30
cf_1706,0.24713343005389266,-0.25195808904300043,-0.04756365234806606,-0.000999361888467851,0.8893954320960821,non-instructed,30
ec_1706,0.4946395268174623,0.5735057766223703,1.1381661493959037,0.5757966053603976,0.7409411114410053,non-instructed,30
fs_1011,0.05734375847338096,0.286197326858036,0.32466673615827807,0.5292480289599583,0.7628415077764225,non-instructed,30
gs_3105,0.26399143534071706,0.9510851085520114,0.6201148709354921,0.5764801965533971,1.0850331090101444,non-instructed,30
ja_1606,0.12941463506875975,0.14092242377116002,0.5472488274182831,0.05769168924593908,0.9133530650116939,non-instructed,30
lw_1306,0.41471371668523194,0.2914396860818617,1.0039519467366902,0.9264598620523581,0.68764968354289,non-instructed,30
ma_1506,0.05348232451323851,0.06861683173839996,0.0457908724964349,0.02217032042857851,0.5828659876115708,non-instructed,30
na_1601,0.214024485137999,0.6782221390584164,0.5375350504967108,0.6101597981918983,0.7729836279928238,non-instructed,30
nj_1406,-0.010392950908534239,0.1978577299360155,0.46133940634353837,0.9678371940042069,0.9011687746068834,non-instructed,30
pa_0416,0.2561427667564398,0.8658852572096621,0.8377600872473251,1.1104544612314635,1.1717327524737609,non-instructed,30
pe_0416,0.6492382075170122,0.604770259853796,0.750243169194592,0.7608896976768881,0.776506588527947,non-instructed,30
sa_1406,0.0004117556277561323,0.6980508509486772,0.6978336603809717,0.8183040575937582,0.8046237207711381,non-instructed,30
sm_1601,0.634529286319383,0.7757726692771466,0.7912012839069091,0.7229394388370076,1.0118868815770963,non-instructed,30
zw_2609,0.018181987534643007,0.22554109015567672,0.25164537947006,0.6262058386827681,0.943206398409453,non-instructed,30
ab_1905,1.022731016197029,0.6194814387859543,0.5598301116428804,0.6317816686310105,0.7608078962327113,instructed,30
ah_2505,1.2487021878419517,0.4917378630113248,0.6079729732000076,0.7359727609484817,0.9907214009806393,instructed,30
ca_0205,0.6085682079840357,0.3976134762882646,0.6559146555527714,0.8772537882036573,0.6697553248859267,instructed,30
cl_1105,0.5791120181955389,0.4607078669424873,0.7302030422391534,0.6356283781856729,0.8945290730513229,instructed,30
dp_2005,0.7487532551356465,0.6252305428630458,0.5707742950475218,0.6302133689971582,0.9203007977150391,instructed,30
hf_1805,0.4486972338376461,0.9706937704811315,0.7548315477177425,0.7712348579382952,0.9448084274423224,instructed,30
ho_2405,0.6877833305615376,0.6534675245823729,0.8596245252565898,0.6736111494922645,0.9047895810460214,instructed,30
hr_1305,0.41350078276616276,0.5691334404514229,0.5799199733055089,0.43405950360715695,0.9611023999493639,instructed,30
jm_2605,1.1158106123964306,0.6453194179852743,0.7219794668564892,0.6471357779646725,0.767295856402171,instructed,30
jw_2505,0.5301568354960059,0.6676238253456905,0.6712811258343172,0.7546162020685419,0.8620172931096596,instructed,30
ka_1905,0.6991248612991371,0.8982625172110503,0.8826620200740919,1.199231610732301,0.9858469706614243,instructed,30
mi_1905,0.7696913140202951,0.698091816902903,0.4497455342137982,0.7538986581828805,0.9430921454024305,instructed,30
mr_2405,0.06212156901877587,0.5964998117897904,0.512956610331656,0.5219932572258433,0.8096072751495876,instructed,30
ns_1905,0.7078053250195554,0.6575946273158101,0.8096658141451358,0.5752849048741009,0.7633680820402311,instructed,30
ps_1705,0.4239269584999317,1.115170167839267,0.8276493707533643,1.4201014193356545,0.7860495327085305,instructed,30
ra_2505,0.8237713079438003,0.664152528249603,0.5915771655079156,1.0732130988928346,0.8129880177314559,instructed,30
sj_1805,0.5124077546230233,0.50028550877103,0.6048043721199475,0.8817578448799918,0.7302964920280101,instructed,30
sk_1705,0.8541698677121541,1.1727423942204627,0.9742748589632374,0.5859188430578448,0.9496957776649215,instructed,30
so_2405,1.1511077144202821,0.7308569280099644,0.8112031453675391,0.8670846634168493,0.932594442976945,instructed,30
ad_0206,0.32766527732994155,0.7230254095204682,0.9350504458874007,0.9073225094161393,0.7406188279283253,non-instructed,60
ap_0106,0.4607488438302553,0.9669427589329506,0.5029666118154559,0.498412835362576,0.8007715821327425,non-instructed,60
cg_2206,0.13781330331674363,0.9005508543894543,0.7051202511322981,1.0028826746758763,0.8729666894314114,non-instructed,60
dd_1506,0.643000924811301,0.5093484163536338,0.47804196096037116,0.37144290111520234,0.9101938716305678,non-instructed,60
ej_2106,-0.040581730694150324,0.3477533715866741,1.1771407946183168,0.9949184839228912,0.9054044297854171,non-instructed,60
ho_1406,0.1883173315059298,0.4817962077829662,0.45437157786342897,0.4908307751319937,0.8518668186946596,non-instructed,60
id_1105,0.5713395015584966,0.7690446322533498,0.46863090522809536,0.5431085912725643,0.6956777200101991,non-instructed,60
jl_1406,0.1880541901845632,0.5207358039661285,0.7326317308170635,0.8365693045774883,0.8534875268590313,non-instructed,60
mb_1205,0.48851517560840685,0.6201026374025175,1.0364812846813691,0.8187158641377243,1.1079083994399685,non-instructed,60
mc_0806,0.22160818637584917,0.2892474580411756,0.5574768139155987,0.3072300760185973,0.5626089578086225,non-instructed,60
nb_1505,-0.1812390457181502,-0.04648324149087312,0.029555945057235692,-0.1656350876893767,0.8996587423798613,non-instructed,60
pb_2306,0.16639565795232245,0.3588729178017055,0.702330922054648,0.8602868961611254,0.8061679405957819,non-instructed,60
rd_3105,0.2963401134995518,0.16621797603552838,0.2856479352156805,0.5185705136977323,0.7715989653305555,non-instructed,60
sc_0106,0.6476640677358801,0.5974414574111019,0.6011441604153906,0.46597348862788573,0.8070970407967273,non-instructed,60
sh_1005,0.09398707341094514,0.7838749915433175,0.7857879074954187,0.8053116567753468,0.6884681499695972,non-instructed,60
ss_1005,0.061105126603584685,0.5806665384688287,0.4652102823453096,0.4668197548337179,0.8185686396027927,non-instructed,60
ss_2505,0.5731360941733733,0.2806980051076569,0.23729608248098596,0.3357037572126341,0.73280832001938,non-instructed,60
ts_1505,0.110423559820618,0.8229909888825875,1.0719275084537732,0.8157570057322753,0.9558505657253199,non-instructed,60
ud_2605,-0.2508519845275578,0.4454597189728726,0.5780413083992317,0.5961099729262719,0.7174335343835538,non-instructed,60
yl_1005,-0.11682070427932155,0.19867444028979817,0.35598874018933013,0.3331091717356206,0.630272542070808,non-instructed,60
ag_1606,1.0073655390277187,1.205559964252786,1.079262085080789,1.0560716828042331,1.0858340446666992,instructed,60
ak_0106,0.9958263074189954,1.103197714508132,1.0207472624595235,0.8270047919797119,0.9596212090371412,instructed,60
ap_1705,1.0666120213100319,1.0387270907509876,1.1761995550705173,1.1580338710326736,1.0220424146804519,instructed,60
at_1605,0.8173625969418846,0.8597891980613986,0.9368235725543064,1.0899274451732488,0.8853836853044575,instructed,60
bg_0705,0.36620848928624933,0.46436797524406376,0.2625182618934934,0.5634579845087058,0.674750495850595,instructed,60
cn_2205,0.8391937931354488,0.9689022151111444,1.029432415589865,1.1230843949040907,0.9881795380562898,instructed,60
da_1505,0.9541202951609212,0.273355878309008,0.40710612077292274,0.5734666210845363,0.8525160383046607,instructed,60
fm_1406,0.9377873687332845,1.1606515485159365,0.9877362282578848,0.8773167217169964,0.8960141073816824,instructed,60
he_0906,0.977574983557693,0.6362270932995582,0.8005117226593639,1.1168704805486533,0.9259037964068614,instructed,60
im_1705,0.26508972590731,0.692780812711029,0.6269311871088683,0.6606806928236164,0.7695695864233204,instructed,60
mb_0206,0.8566825490871692,0.9558291128590082,0.8015162568499822,1.218523765773041,0.9500918148310813,instructed,60
mp_0906,0.5050445297569747,1.1651101157691472,0.9026376494876767,0.9699316502373126,0.8590156484524579,instructed,60
mw_0706,1.1322998180520967,0.9157896158549378,0.9416426805697733,0.7982514795656769,0.8345542938102545,instructed,60
nj_3105,0.795905325965288,0.920327171364732,0.8248247413910398,0.6811565665521446,0.9035237206949436,instructed,60
ns_2405,0.8031105522589147,0.8006138175221239,0.6786620379233353,0.73172955337675,0.8928415725338618,instructed,60
pa_0906,0.3308769036003531,0.7210709440018415,0.8916394339547901,0.8119692803799097,1.0446562726129054,instructed,60
rr_2206,-0.592742801677647,0.12002531369910674,0.7627550743942684,0.7412841484076049,0.9409177470714989,instructed,60
sa_2106,1.1283466808150338,1.0307449713480177,0.9096300197781612,0.8970911532224604,0.9662771879744473,instructed,60
sd_2505,1.2403625222424104,0.6351982506638479,0.8681849168623901,0.5914865044032009,0.9118400330575778,instructed,60
sm_1805,0.9332493340177663,0.9538586888847912,1.0293497763649464,0.845648546531445,0.9871777229375859,instructed,60
tp_2405,0.7768583265874333,0.5855684470916712,1.0057352925557417,0.9631524494258515,0.901932318289265,instructed,60
vb_0706,0.4767421758869729,0.6053675477728707,0.72671023743658,0.6266833252462932,0.9498868212178788,instructed,60
ym_2206,0.4590269007822535,0.5412694371227366,0.78184375429291,0.753329937449201,0.8708468128326371,instructed,60
ys_1605,0.8755780590619978,1.2596482467251435,0.9366960870260878,0.8646031037103924,0.823486167644765,instructed,60
